Drive,Total Size,Free Size
C:\Users\Joe\Documents\code\drive_scraper,476.31 GB,475.75 GB
File,Size,%
C:\Users\Joe\Documents\code\drive_scraper\.git\COMMIT_EDITMSG,34.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\config,309.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\description,73.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\FETCH_HEAD,104.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\HEAD,23.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\hooks\applypatch-msg.sample,478.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\hooks\commit-msg.sample,896.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\hooks\fsmonitor-watchman.sample,4.55 KB,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\hooks\post-update.sample,189.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\hooks\pre-applypatch.sample,424.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\hooks\pre-commit.sample,1.6 KB,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\hooks\pre-merge-commit.sample,416.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\hooks\pre-push.sample,1.32 KB,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\hooks\pre-rebase.sample,4.78 KB,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\hooks\pre-receive.sample,544.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\hooks\prepare-commit-msg.sample,1.46 KB,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\hooks\update.sample,3.55 KB,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\index,1.27 MB,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\info\exclude,240.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\info\refs,127.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\logs\HEAD,335.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\logs\refs\heads\master,335.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\logs\refs\remotes\origin\master,292.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\00\4a2050090827d4bcf39092fcc64d5dede703d7,99.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\00\524e80d2e17605c407bab6fa593b44341b0fa9,377.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\00\dbe5c3266757e5910a2f0adcbef088f2e290d6,218.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\00\f038e5a132c8230fa92a4e74453deb23852de4,168.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\01\0800d4daa9522b9fe30b5172e96a40bfeb266d,357.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\01\1304772f985cfe8934f878b4d7522f0146165d,175.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\01\aa5734376994cc7d6e2756b3b92ba8b5a70a39,161.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\01\d03193d2fc55c953996705192a00bfa311c0fc,143.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\02\7a51fce80b5fe925520957466d94b125101443,1.51 KB,0.0 %
